record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y2_avg_s1,y2_avg_s2,y2_avg,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
131,1,2,1,0,0,1,14,30,0,7,1,6,2,4,5,0,3,1,4.0,1,3.0,3.0,1,1,5.0,7.0,7.0,7.0,7.0,0,3,3,2.0,1,14.0,12.0,0,2,1,0,2,0,2,0,1,2,2,0,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
136,1,2,1,0,2,1,41,32,0,2,4,0,6,3,0,5,7,7,4.0,1,5.0,5.0,1,0,5.0,8.0,8.0,8.0,8.0,0,3,3,2.0,4,14.0,14.0,2,2,0,0,2,0,2,0,3,0,2,0,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
137,0,0,2,4,2,0,35,8,1,6,2,0,4,1,5,3,7,8,2.0,0,3.0,4.0,2,0,3.0,7.0,6.0,7.0,9.0,8,2,4,3.0,3,11.0,12.0,2,2,0,0,2,0,2,0,3,0,2,0,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
138,1,0,0,1,2,0,11,0,0,5,6,2,1,4,2,3,7,8,3.0,1,3.0,4.0,2,0,2.0,9.0,8.0,7.0,7.0,8,2,4,3.0,4,11.0,13.0,2,2,0,0,2,0,2,0,3,0,2,0,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
139,1,0,0,0,1,1,48,11,0,4,2,6,1,3,5,0,7,8,2.0,1,4.0,4.0,2,1,2.0,9.0,9.0,9.0,7.0,8,2,4,2.0,4,11.0,13.0,2,2,0,0,2,0,2,0,3,0,2,0,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
143,1,2,0,0,2,0,12,14,0,2,6,1,0,1,5,3,7,12,3.0,0,5.0,5.0,2,1,5.0,4.0,8.0,8.0,9.0,0,3,3,2.0,3,12.0,13.0,0,2,0,1,2,0,4,1,0,2,0,2,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
149,1,2,0,1,2,0,42,27,0,6,2,1,4,0,7,5,3,1,3.0,1,3.0,4.0,2,1,3.0,7.0,7.0,7.0,8.0,0,3,3,2.0,3,13.0,13.0,0,0,0,0,2,0,2,1,0,0,0,0,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
160,1,2,1,0,2,1,36,19,0,4,2,6,0,6,6,6,0,1,3.0,1,4.0,4.0,2,0,5.0,8.0,8.0,8.0,7.0,0,3,3,2.0,3,13.0,13.0,0,2,0,1,1,3,2,0,0,2,2,0,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
162,1,2,0,0,2,1,36,18,0,6,4,2,1,4,0,5,6,4,3.0,1,4.0,4.0,0,0,4.0,6.0,8.0,8.0,9.0,0,3,3,2.0,4,14.0,14.0,0,2,0,1,2,0,2,2,0,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
167,1,1,1,0,2,1,32,30,1,4,4,2,4,4,4,4,4,13,3.0,0,3.0,3.0,2,0,5.0,7.0,6.0,6.0,7.0,1,3,2,2.0,2,11.0,10.0,0,2,0,1,2,0,2,2,0,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
171,0,2,1,3,1,2,38,21,0,2,4,0,6,1,3,5,3,1,2.0,0,3.0,3.0,0,0,2.0,7.0,5.0,5.0,4.0,0,3,3,2.0,5,14.0,14.0,0,0,0,1,2,3,0,0,0,0,2,2,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
173,0,2,1,1,1,0,40,31,0,5,0,1,4,2,6,3,7,1,3.0,1,5.0,5.0,2,1,1.0,7.0,7.0,6.0,5.0,0,3,3,2.0,2,12.0,12.0,1,2,0,1,1,0,2,1,0,2,0,2,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
175,0,0,0,0,2,0,40,13,1,5,0,7,2,1,1,6,7,11,3.0,1,4.0,5.0,1,1,3.0,9.0,8.0,8.0,8.0,8,2,4,3.0,4,14.0,14.0,0,2,0,0,2,0,0,1,3,3,0,2,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
176,1,2,1,1,2,0,49,0,0,2,4,0,1,7,6,3,5,3,3.0,1,3.0,4.0,1,0,4.0,8.0,7.0,5.0,8.0,0,3,3,2.0,3,13.0,13.0,0,0,0,1,2,3,2,0,0,2,0,2,2,0,0,0,1,1,1,2,1,1,2,2,1,2,0
177,1,0,2,1,1,0,36,9,0,2,4,6,0,1,5,7,3,8,4.0,1,5.0,5.0,1,1,4.0,9.0,9.0,7.0,6.0,8,2,4,3.0,6,15.0,15.0,0,0,0,1,2,3,2,0,0,2,0,2,2,0,0,0,1,1,1,2,1,1,2,2,1,2,0
178,1,2,0,0,0,0,0,8,0,2,6,5,4,1,3,7,0,1,3.0,1,4.0,3.0,2,1,4.0,8.0,8.0,8.0,9.0,0,3,3,2.0,4,14.0,14.0,2,0,2,1,2,3,0,0,0,0,2,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
180,1,2,1,3,2,0,11,16,0,4,2,6,5,1,3,0,7,1,2.0,1,3.0,4.0,1,1,4.0,8.0,6.0,6.0,7.0,0,3,3,2.0,5,15.0,16.0,0,0,2,1,2,3,2,0,0,0,0,0,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
183,1,2,1,2,2,0,10,8,0,2,4,0,6,1,5,7,3,1,2.0,1,4.0,5.0,1,0,3.0,8.0,8.0,8.0,7.0,0,3,3,2.0,5,15.0,15.0,0,3,0,0,0,0,2,0,0,0,3,0,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
191,0,2,0,0,2,0,36,12,1,2,0,5,6,1,4,3,7,1,3.0,1,4.0,5.0,2,0,3.0,8.0,7.0,6.0,7.0,0,3,3,2.0,5,16.0,15.0,0,3,0,0,0,0,2,0,0,0,3,0,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
203,1,2,1,1,2,0,10,12,1,5,6,2,4,0,7,3,1,1,3.0,1,5.0,4.0,1,0,3.0,6.0,9.0,9.0,8.0,0,3,3,2.0,2,11.0,15.0,0,3,0,0,0,0,2,0,0,0,3,0,3,0,0,0,1,1,1,2,1,1,2,2,1,2,0
205,0,2,1,1,2,0,42,30,0,2,1,6,0,5,7,5,3,1,2.0,1,4.0,4.0,1,0,2.0,6.0,5.0,4.0,7.0,0,3,3,2.0,2,11.0,15.0,1,2,0,1,1,0,0,0,2,2,2,2,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
209,0,2,0,0,2,0,8,22,0,0,2,6,1,4,5,7,3,1,3.0,1,3.0,3.0,2,0,4.0,10.0,7.0,8.0,7.0,0,3,3,2.0,2,11.0,15.0,1,0,0,0,1,2,0,1,2,0,1,2,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
